streetAddress,suburb,postcode,bedrooms,propertyType,price
48 Ben Drive,Pakenham,3810,3,house,"$530,000 "
76 Dusseldorp Avenue,Pakenham,3810,4,house,"$525,000 "
2 Cardiff Street,Bell Post Hill,3215,4,house,"$525,000 "
7 Norman Grove,Werribee South,3030,4,house,"$512,500 "
5 Callistemon Crescent,Drouin,3818,3,house,"$510,000 "
3/5-7 Bonnie View Road,Croydon North,3136,2,unit,"$500,500 "
15 Glitter Road,Diggers Rest,3427,3,house,"$500,000 "
51 Marshalltown Road,Marshall,3216,3,house,"$500,000 "
3205/58 Clarke Street,Southbank,3006,2,apartment,"$495,000 "
15 The Gums,Mount Clear,3350,4,house,"$485,000 "
909/108 Flinders Street,Melbourne,3000,1,apartment,"$484,000 "
112 Butler Court,Heathcote,3523,3,house,"$480,000 "
18 Cavell Drive,Craigieburn,3064,3,house,"$475,000 "
32 Jupiter Crescent,Cranbourne West,3977,3,house,"$470,000 "
81 Dallas Drive,Dallas,3047,2,house,"$450,000 "
25 Chestnut Street,Campbellfield,3061,3,house,"$450,000 "
15 Strachan Place,Melton South,3338,3,house,"$447,000 "
34 Watergum Way,Wallan,3756,4,house,"$440,000 "
2/2 La Scala Avenue,Maribyrnong,3032,2,apartment,"$440,000 "
2 Elm Road,Golden Point,3350,2,house,"$440,000 "
503/97-103 Flemington Road,North Melbourne,3051,1,apartment,"$431,000 "
3/18 Grayling Street,Belmont,3216,3,townhouse,"$430,000 "
B204/8 Grosvenor St,Abbotsford,3067,2,unit,"$430,000 "
4 Milla Belle Place,Brookfield,3338,4,house,"$418,000 "
1200 Mount Terrick Road,Echuca,3564,4,acreage/semi-rural,"$399,000 "
2/49 Murphy Street,Romsey,3434,3,townhouse,"$395,000 "
3/12-30 Pickersgill Avenue,Sunshine West,3020,2,unit,"$376,000 "
"Lot 79, 38 Songlark Crescent",Carrum Downs,3201,0,residential land,"$375,000 "
10 Grafton Street,St Albans Park,3219,3,house,"$375,000 "
3 Carew Court,Mount Pleasant,3350,5,house,"$370,000 "
14/13 Wood Street,Drouin,3818,2,unit,"$355,000 "
11 Isabel Court,Portland,3305,4,house,"$352,500 "
7/10 Gordon Street,Spring Gully,3550,3,house,"$350,000 "
109/2 Archibald Street,Box Hill,3128,1,apartment,"$330,000 "
38A Pettitt Crescent,Norlane,3214,2,house,"$330,000 "
B206/8 Grosvenor Street,Abbotsford,3067,1,apartment,"$330,000 "
2A Alder Crescent,Bell Park,3215,2,townhouse,"$320,000 "
12/9 Kemp Street,Thornbury,3071,1,apartment,"$300,000 "
1/7 Jepson Street,Yarraville,3013,1,apartment,"$288,500 "
53 Pearce Street,Wodonga,3690,3,house,"$278,000 "
15 Grant Street,Portland,3305,3,house,"$235,000 "
109 Must Street,Portland,3305,3,house,"$220,000 "
45 Brickwood Street,Brighton,3186,4,house,Contact agent
32 Maling Road,Canterbury,3126,4,house,"$2,810,000 "
57 Avendon Boulevard,Glen Waverley,3150,4,house,"$2,200,000 "
3 Highbury Street,Balwyn North,3104,0,residential land,"$1,900,000 "
133 Argyle Street,St Kilda,3182,3,house,"$1,785,000 "
71 Eastgate Street,Pascoe Vale South,3044,3,house,"$1,400,000 "
4 Oakdale Lane,Sunbury,3429,3,house,"$1,200,000 "
2/33 Fisher Parade,Ascot Vale,3032,3,apartment,"$1,200,000 "
76 Franklin Street,Eltham,3095,4,house,"$1,045,000 "
16 Sussex Street,Ringwood,3134,3,house,"$1,000,000 "
63 Stadium Circuit,Mulgrave,3170,3,house,"$930,000 "
9 Quentin Court,Drouin,3818,4,acreage/semi-rural,"$920,000 "
9 Bennett Street,Richmond,3121,2,house,"$920,000 "
7 Dunstan Street,Frankston South,3199,5,house,"$903,000 "
7 Paltarra Court,Croydon,3136,4,house,"$876,000 "
19 Hopbush Avenue,Sunbury,3429,5,house,"$875,000 "
12A Edith Street,Mordialloc,3195,3,townhouse,"$850,000 "
2 Chunar Grove,McCrae,3938,4,house,"$845,000 "
4 Hill Street,Ferny Creek,3786,4,house,"$830,000 "
9 Kenswick Drive,Hillside,3037,5,house,"$825,000 "
57 Tyner Road,Wantirna South,3152,3,house,"$823,333 "
20 Belmont Crescent,Montmorency,3094,3,house,"$815,000 "
4 Union Street,Williamstown,3016,2,house,"$798,000 "
31 Heathwood Street,Ringwood East,3135,3,house,"$792,000 "
1450 Jacksons Track,Jindivick,3818,3,acreage/semi-rural,"$774,000 "
11 Boyd Court,Scoresby,3179,4,house,"$765,000 "
5406/7 Riverside Quay,Southbank,3006,1,apartment,"$745,000 "
254 Pink Hill Boulevard,Officer,3809,4,house,"$710,000 "
77 Fantail Crescent,Williams Landing,3027,4,house,"$710,000 "
3 Kates  Court,Wandana Heights,3216,4,house,"$702,000 "
LG03/K6 High Street,Windsor,3181,2,apartment,"$701,000 "
8 Redwood Street,Heidelberg West,3081,2,house,"$700,000 "
83 Bloom Avenue,Wantirna South,3152,3,house,"$695,000 "
3 Mackenzie Court,Croydon South,3136,4,house,"$690,000 "
572 Blackswamp Road,Bullarook,3352,4,house,"$685,500 "
26 Dempster Way,Berwick,3806,5,house,"$675,000 "
6 Vantage Point Boulevard,Doreen,3754,4,house,"$659,000 "
23 Fieldwren Drive,Williams Landing,3027,4,house,"$655,000 "
4 Old Farm Way,Romsey,3434,4,house,"$652,000 "
16 Kent Street,Warragul,3820,3,house,"$650,000 "
46 Odessa Avenue,Keilor Downs,3038,4,house,"$640,000 "
85 Cherylnne Crescent,Kilsyth,3137,3,house,"$635,000 "
4/3 King Street,Bayswater,3153,3,townhouse,"$635,000 "
147 Haze Drive,Point Cook,3030,4,house,"$625,000 "
606/23 Queens Road,Melbourne,3004,2,apartment,"$625,000 "
101/462 Hawthorn Road,Caulfield South,3162,2,apartment,"$610,000 "
2 Lockton Avenue,Reservoir,3073,3,house,"$600,000 "
13 Moomba St,Mornington,3931,3,house,"$590,000 "
9 Mill Street,Franklinford,3461,3,house,"$590,000 "
35 Kingdom Avenue,Kings Park,3021,3,house,"$575,000 "
2/14 Mary Street,Hamlyn Heights,3215,3,house,"$575,000 "
15 Gardense Parade,South Morang,3752,3,house,"$573,000 "
4/50 Roberts Street,West Footscray,3012,2,townhouse,"$570,000 "
66 Graf Road,Somerville,3912,4,townhouse,"$565,000 "
7 Acton Street,Rockbank,3335,4,house,"$555,000 "
66 Carbon Crescent,Mill Park,3082,3,house,"$555,000 "
16 Tettenhall Ridge,Belmont,3216,3,house,"$552,000 "
51 Clarke Avenue,St Albans,3021,3,house,"$550,000 "
5/177 Power Street,Hawthorn,3122,2,apartment,"$540,500 "
33 Cobham Street,St Albans,3021,3,house,"$535,000 "
25 Maiden Drive,Sunbury,3429,4,house,"$533,000 "
24 Iolanda Street,Rye,3941,3,house,"$531,500 "
3/143 Melbourne Avenue,Glenroy,3046,2,villa,"$530,500 "
5 Chloe Court,Rowville,3178,2,townhouse,"$525,000 "
22 Garside Street,Dandenong,3175,3,house,"$525,000 "
18  Valiant Walk,Williams Landing,3027,3,townhouse,"$511,000 "
49A Brights Drive,Tootgarook,3941,3,house,"$510,000 "
"1,3,4/33A King Edward Avenue",Albion,3020,3,townhouse,"$500,000 "
2 Jamieson Way,Wallan,3756,4,house,"$500,000 "
2/44 Eildon Road,St Kilda,3182,2,apartment,"$500,000 "
6 Muir Crescent,Newington,3350,3,house,"$480,000 "
50 First Avenue,Melton South,3338,4,house,"$468,000 "
72 Damask Drive,Tarneit,3029,3,house,"$460,000 "
34 Ash Road,Leopold,3224,3,house,"$455,000 "
6 Macalister  Place,Pakenham,3810,3,house,"$445,000 "
2 Menzies Street,Wodonga,3690,5,house,"$433,000 "
3 Comtois Lane,Clyde North,3978,2,house,"$425,000 "
11 Cumberland Terrace,Strathfieldsaye,3551,4,house,"$415,000 "
3 Portman Avenue,Harkness,3337,3,house,"$405,000 "
5 Colonial Court,Alfredton,3350,3,house,"$387,500 "
2/26 Carolanne Drive,Drysdale,3222,3,unit,"$380,100 "
20 Austin Court,Kangaroo Flat,3555,3,house,"$365,250 "
